#Word	VAL_M	ARO_M	CON_M	IMA_M	AVA_M	FAM_M
abandono	1.09	7.85	4.52	3.70	3.95	5.65
abanico	5.64	3.57	5.64	6.86	4.67	5.15
abeja	2.90	7.14	6.86	6.77	5.78	5.48
abejorro	3.40	6.95	6.59	6.35	4.96	4.32
abismo	2.95	6.55	3.75	3.90	4.35	4.74
abnegación	3.90	4.91	2.18	1.45	1.96	1.77
abogada	5.05	4.95	5.57	5.80	5.18	5.61
aborto	2.50	6.90	5.75	3.30	5.00	6.14
abrigo	4.40	3.75	4.33	6.96	6.00	6.71
abstinente	3.45	3.64	4.52	2.09	2.74	3.15
absurdo	4.05	4.23	3.23	1.86	3.14	5.64
abuela	8.20	2.20	5.86	6.75	6.73	6.67
abuso	1.71	7.20	3.60	3.14	5.59	5.40
accidente	1.52	7.50	4.20	5.73	6.35	5.90
acción	6.43	6.95	2.05	3.81	4.45	6.45
acelerador	5.90	6.64	5.86	4.73	5.09	5.86
acento	5.23	4.77	3.30	4.33	5.50	5.80
aceptación	8.35	5.36	2.95	3.29	3.35	5.85
acera	4.96	3.90	6.32	6.36	5.77	6.33
acidez	4.09	6.14	4.91	2.70	3.91	4.96
ácido	4.00	6.80	5.10	3.59	4.95	5.73
acierto	7.80	5.45	4.52	3.30	4.83	6.00
acoso	1.43	7.95	3.09	3.13	4.18	5.00
acre	4.91	3.65	4.40	2.10	1.14	1.77
activar	5.73	6.36	3.87	3.04	3.64	5.15
acto	5.83	6.19	3.23	1.91	4.40	5.41
acuerdo	6.57	4.00	3.15	3.32	4.32	5.75
ademán	5.10	3.50	3.23	2.85	1.32	3.32
adicción	2.61	6.85	3.82	3.86	4.86	5.48
adiós	2.21	4.76	5.86	3.73	6.20	6.82
admiración	7.50	5.80	2.80	2.43	5.17	5.05
admirado	6.95	6.68	3.74	4.17	4.86	5.24
adolescente	5.91	5.64	6.00	5.62	6.32	6.73
adopción	5.25	5.48	4.60	3.20	5.70	5.64
adoración	7.00	3.14	2.23	3.36	4.61	4.05
adulterio	3.45	7.59	5.27	4.00	3.61	3.95
adversario	4.00	6.41	3.85	3.38	4.68	5.10
aeropuerto	6.38	5.29	6.55	6.65	6.50	6.18
afortunado	7.45	5.25	4.40	3.50	4.85	5.60
agente	4.57	5.05	3.80	5.55	5.15	5.43
agobiado	2.24	7.10	4.78	3.96	5.73	6.60
agresividad	1.77	7.15	4.78	4.61	5.04	5.90
agresivo	2.00	7.62	5.09	4.74	5.27	5.65
agricultor	5.57	3.87	5.64	6.05	5.05	6.00
aguanieve	5.71	3.33	6.30	5.19	3.73	4.70
aguardiente	4.73	5.25	6.41	5.91	4.33	4.90
agudo	4.70	5.14	3.50	1.82	2.85	5.19
aguijón	2.45	7.00	5.82	5.75	3.63	3.67
águila	5.40	4.90	6.80	6.85	5.00	5.67
aguja	4.09	5.75	5.77	6.86	6.14	6.00
ahogarse	1.75	7.90	5.17	5.70	5.41	4.90
