#word	frequency	freq_per_million
de_ADP	36887816	87633.81952686519
lo_DET	22647484	53803.28088801915
el_DET	22055384	52396.63798614996
y_CONJ	12813292	30440.341566251187
en_ADP	12694880	30159.031991354826
a_ADP	11301278	26848.27306325026
uno_DET	8074641	19182.80095894607
que_PRON	7246763	17216.02387346446
se_PRON	6349362	15084.082061641597
que_SCONJ	5765839	13697.81540731392
los_DET	5089380	12090.762121119807
con_ADP	4411373	10480.031275033629
por_ADP	4383360	10413.481219958368
ser_AUX_Ind_Pres	4050548	9622.82484864121
quot_VERB_Ind_Past	3846277	9137.541362392732
parir_ADP	3693716	8775.10453119519
su_DET	3609827	8575.810718672128
no_ADV	3516339	8353.712708859686
haber_AUX_Ind_Pres	2420567	5750.503950428659
este_DET	2355197	5595.205442583381
comer_SCONJ	2081378	4944.69783787654
más_ADV	1836005	4361.768959713477
o_CONJ	1781125	4231.3913842117345
la_DET	1630475	3873.4944864468403
me_PRON	1227065	2915.1195277522756
todo_DET	1173126	2786.9774715389294
pero_CONJ	1165423	2768.677572411926
lo_PRON	1163642	2764.4464779883
si_SCONJ	1142475	2714.1603602651703
tener_VERB_Ind_Pres	1001294	2378.7588207806325
poder_AUX_Ind_Pres	986674	2344.0263106888788
año_NOUN	923229	2193.3009958618372
estar_AUX_Ind_Pres	914508	2172.58264972571
le_PRON	878564	2087.1910394153124
ya_ADV	811971	1928.9870692005259
sobrar_ADP	783315	1860.9094488729397
partir_NOUN	781455	1856.4906753592147
nos_PRON	756868	1798.0797160140737
otro_DET	723347	1718.444389694943
sin_ADP	700182	1663.4116539715858
muy_ADV	678159	1611.0919501582682
ser_AUX_Inf	661358	1571.1780717689687
nuestro_DET	643777	1529.4111593255261
también_ADV	643466	1528.6723213885539
entrar_ADP	640662	1522.0109015323787
nuevo_ADJ	630316	1497.4320677834535
te_PRON	613596	1457.7106198536226
desde_ADP	609976	1449.110641294652
mi_DET	605882	1439.384588195087
ese_DET	593131	1409.0922327792214
cuando_SCONJ	578536	1374.419114804587
ser_AUX_Ind_Past	564337	1340.6867679651332
vez_NOUN	548040	1301.970234656972
día_NOUN	542147	1287.9703248094543
apos_NOUN	495842	1177.9642454798595
casar_NOUN	481775	1144.5454890187991
hasta_ADP	477494	1134.3751828831766
cada_DET	456578	1084.685362015931
e_CONJ	452622	1075.2871534028682
porque_SCONJ	442863	1052.1028465639197
hacer_VERB_Inf	420194	998.2484504442225
tiempo_NOUN	416443	989.3372571915434
personar_NOUN	411829	978.375848055883
bueno_ADJ	404820	961.7246741001302
donde_PRON	396504	941.9684802613458
formar_NOUN	394239	936.5875544502773
yo_PRON	386732	918.7532895214949
las_DET	385504	915.8359487285624
alguno_DET	384638	913.7786057915268
uno_PRON	383772	911.7212628544913
tu_DET	379344	901.2017310702036
asir_ADV	377272	896.279312403301
mismo_DET	372790	885.6314936460341
bien_ADV	359928	855.0754372301558
la_PRON	358289	851.181690031771
mucho_DET	354587	842.386905328647
vida_NOUN	349721	830.8268236524175
ser_AUX_Ind_Imp	341212	810.612122669467
deber_AUX_Ind_Pres	339687	806.9892035251493
gran_ADJ	336406	799.1945820743254
durante_ADP	332302	789.4447721279123
es_AUX_Ind_Pres	332107	788.9815136143766
trabajar_NOUN	327425	777.85855792015
primero_ADJ	325194	772.5584053883646
sólo_ADV	319558	759.1690465048403
servicio_NOUN	316884	752.8164656576889
además_ADV	316700	752.3793396756861
país_NOUN	313011	743.6154388734643
eso_PRON	310663	738.0373312335574
les_PRON	309044	734.1910977288687
ni_CONJ	304154	722.573999620204
empresa_NOUN	303295	720.5332864759621
ahora_ADV	299892	712.4488314935928
todo_PRON	298328	708.7332606465679
mundo_NOUN	297170	705.9822177815713
esto_PRON	296888	705.3122747004581
siempre_ADV	296335	703.9985210697646
hacer_VERB_Ind_Pres	295733	702.5683588895158
ser_AUX_Sub_Pres	293794	697.9619062856915
mayor_ADJ	293757	697.874005952354
lugar_NOUN	293063	696.2252807811038
aunque_SCONJ	291010	691.3480001232125
para_ADP	290684	690.5735269159682
sistema_NOUN	288602	685.6273514022178
menos_ADV	283027	672.3829092844661
ir_AUX_Ind_Pres	282320	670.7033002123135
tipo_NOUN	273981	650.8924656257789
último_ADJ	272117	646.4641893733144
ser_AUX_Past	271659	645.3761257876766
hora_NOUN	267558	635.633442895318
momento_NOUN	265193	630.0149486157695
coser_NOUN	258284	613.6013431284968
mejor_ADJ	257860	612.5940528221421
haber_AUX_Ind_Imp	257416	611.5392488220915
social_ADJ	248728	590.8993002805622
hoy_ADV	248195	589.6330603435646
ver_VERB_Inf	248018	589.2125641543553
grupo_NOUN	247866	588.8514600822658
punto_NOUN	246404	585.3782090730905
ser_AUX_Ind_Fut	245791	583.921914361309
problema_NOUN	245767	583.8648979288738
actividad_NOUN	244360	580.5223095773623
importante_ADJ	244061	579.8119798566075
información_NOUN	243127	577.5930903610057
algo_PRON	240229	570.7083561444597
después_ADV	238652	566.9619013965324
antes_ADV	236651	562.2081563422507
tener_VERB_Inf	236478	561.7971628917805
qué_PRON	232847	553.1710518012771
querer_VERB_Ind_Pres	220393	523.5842747367966
ellos_PRON	220200	523.1257675926305
tan_ADV	219697	521.9307981961767
decir_VERB_Ind_Pres	218569	519.2510258717241
un_DET	217954	517.789979790573
ciudad_NOUN	217760	517.3290969617221
mucho_ADV	216549	514.4521428084312
niño_NOUN	213681	507.63867913242905
dar_VERB_Ind_Pres	212877	505.7286286458511
público_ADJ	212498	504.8282441503124
manera_NOUN	208781	495.99782417691637
programar_NOUN	208207	494.634181167842
derecho_NOUN	208066	494.2992096272854
mujer_NOUN	205614	488.47403078015947
los_PRON	205300	487.72806578913276
sino_CONJ	205025	487.0747525008132
pues_SCONJ	202902	482.0311739149859
través_NOUN	202856	481.92189241948523
obrar_NOUN	202543	481.1783031131433
grande_ADJ	200283	475.80925572549864
desarrollar_NOUN	196420	466.63198578812205
temer_NOUN	196393	466.5678423016325
dar_VERB_Inf	196166	466.02856187818327
una_PRON	195822	465.2113263466125
nada_PRON	195111	463.5222145357208
él_PRON	194201	461.3603414725542
hombre_NOUN	194165	461.27481682390146
creer_VERB_Ind_Pres	192976	458.450127733676
tanto_ADV	191025	453.81516691363413
cual_PRON	190603	452.8126279766492
﻿1_ADJ	189925	451.20191376035575
poco_ADV	188191	447.08247651691516
cualquiera_DET	186723	443.594971399631
producto_NOUN	185528	440.7560282012968
segundar_ADJ	185074	439.6774673543983
aguar_NOUN	184050	437.2447662371646
cómo_PRON	182699	434.0352162280018
según_ADP	181792	431.8804702188895
encontrar_VERB_Ind_Pres	181022	430.0511930115947
ante_ADP	180240	428.19340758808227
siguiente_ADJ	178921	425.059879488833
ejemplo_NOUN	178245	423.45391664190925
una_DET	177508	421.70303702921274
dentro_ADV	176347	418.9448671101617
posible_ADJ	176213	418.62652536239875
ser_NOUN	175800	417.6453675875769
ello_PRON	175427	416.7592372001471
número_NOUN	175145	416.08929411903387
zona_NOUN	174491	414.5355963351757
contra_ADP	174058	413.5069248666579
alto_ADJ	173102	411.23577030799055
millón_NOUN	172354	409.4587581637613
necesario_ADJ	171685	407.8694251096311
quien_PRON	171657	407.8029059384567
contar_NOUN	170787	405.73606026268203
hacer_AUX_Ind_Pres	170656	405.42484556897347
pequeño_ADJ	170084	404.0659539292687
resultar_NOUN	169994	403.8521423076368
historia_NOUN	169604	402.9256252805654
aquí_ADV	169052	401.6142473345566
gente_NOUN	168154	399.4808824876076
mesar_NOUN	167338	397.54232378481197
hacia_ADP	166822	396.316470487456
todos_PRON	166575	395.7296763703107
tras_ADP	166129	394.67012100089056
fin_NOUN	165943	394.2282436495181
proyectar_NOUN	163975	389.5528961898346
calidad_NOUN	162404	385.8206955500162
situación_NOUN	161834	384.466555279681
dato_NOUN	160481	381.25225390114866
nivel_NOUN	158605	376.7954694324667
semana_NOUN	158473	376.48187905407326
procesar_NOUN	158077	375.54110791889303
artículo_NOUN	157945	375.22751754049966
ella_PRON	156479	371.74476379258505
usar_NOUN	155731	369.9677516483558
económico_ADJ	154552	367.1668194049783
ver_VERB_Ind_Pres	153943	365.72002743193605
principal_ADJ	152751	362.88821128765625
equipar_NOUN	151915	360.90213889116467
aun_ADV	151837	360.7168354857504
hijo_NOUN	150272	356.9988889540407
estar_AUX_Ind_Imp	150116	356.6282821432122
luego_ADV	150064	356.50474653960265
casi_ADV	149009	353.9983991971402
esta_DET	148894	353.7251954583884
como_SCONJ	148787	353.47099719711497
os_PRON	145872	346.5458763409273
mas_ADV	144598	343.51925405249403
haber_AUX_Inf	143965	342.0154456470166
familia_NOUN	143390	340.64942695325743
saber_VERB_Ind_Pres	143299	340.43323964694076
poder_AUX_Sub_Pres	143159	340.100643791069
sector_NOUN	142975	339.66351780906604
único_ADJ	142161	337.72971047564005
decir_VERB_Ind_Past	142084	337.54678275491057
ir_VERB_Ind_Pres	141665	336.55137087198005
experiencia_NOUN	140732	334.334857061063
medir_NOUN	140472	333.71717904301534
las_PRON	140460	333.6886708267978
embargar_NOUN	140332	333.38458318714356
ideo_NOUN	139970	332.52458533124656
pesar_NOUN	139802	332.1254703042004
pasar_ADJ	137306	326.1957613309433
político_ADJ	136286	323.7725629524489
necesidad_NOUN	134579	319.7172691954978
poder_AUX_Ind_Fut	134485	319.4939548351267
gracia_NOUN	134433	319.3704192315172
estar_NOUN	134293	319.0378233756454
euro_NOUN	134171	318.7479898441
mercar_NOUN	134116	318.61732718643606
imagen_NOUN	133478	317.1016403575347
sociedad_NOUN	133223	316.49584076291103
solo_ADJ	133096	316.19412880794164
entonces_ADV	132239	314.15816703306933
permitir_VERB_Ind_Pres	131596	312.63060178074386
nosotros_PRON	131129	311.52115703294294
efecto_NOUN	130239	309.4067976634723
nunca_ADV	129949	308.7178491048807
palabra_NOUN	129664	308.04077896971313
aquel_DET	129466	307.57039340212305
página_NOUN	128044	304.1921697803396
poder_AUX_Cnd	127846	303.72178421274947
final_NOUN	127403	302.66935589738375
próximo_ADJ	127315	302.46029564512145
sentir_NOUN	126977	301.6573142216596
investigación_NOUN	126790	301.21306118560227
nacional_ADJ	126732	301.07527147388396
tanto_NOUN	126497	300.5169855729563
ninguno_DET	126452	300.4100797621404
acordar_NOUN	125819	298.90627135666296
verdad_NOUN	125252	297.55925814038216
realizar_VERB_Inf	125012	296.9890938160305
relación_NOUN	124620	296.0578254195895
anterior_ADJ	124558	295.910532969132
propio_DET	124161	294.967386149267
incluso_ADV	124064	294.73694473484153
lado_NOUN	123918	294.39009477086097
hacer_VERB_Ind_Past	123855	294.2404266357186
especial_ADJ	123062	292.35650868067347
nombrar_NOUN	122999	292.2068405455311
mediar_NOUN	122917	292.01203440137766
pasar_NOUN	122856	291.8671176356049
contar_VERB_Ind_Pres	122117	290.11148665353886
recurso_NOUN	121707	289.1374559327715
hemo_AUX_Ind_Pres	121650	289.00204190573794
haber_AUX_Sub_Pres	121459	288.54828613094145
jugar_NOUN	121383	288.3677340948967
no_PART	120831	287.05635614888797
mediante_ADP	120590	286.4838161398515
político_NOUN	120283	285.7544809416184
